"vin","timestamp","end_time","odo","end_odo","soc","end_soc","event","charge_mode"
-2.47174E+18,01/05/2021 15:24,01/05/202115:55,"253,515,625","2,541,265,625",305,298,trip,
-2.47174E+18,01/05/2021 15:55,01/05/2021 16:07,"2,541,265,625","25,471,875",298,286,trip,
-2.47174E+18,01/05/202116:24,01/05/202116:40,"25,471,875","2,557,328,125",282,27,trip,
-2.47174E+18,01/05/2021 18:19,01/05/2021 18:28,"2,557,328,125","25,628,125",266,258,trip,
-2.47174E+18,01/05/202118:37,01/05/202118:51,"25,628,125","2,573,890,625",258,243,trip,
-2.47174E+18,01/05/202118:52,02/05/2021 00:04,"2,573,890,625","2,573,890,625",243,411,charge,240       
-2.47174E+18,02/05/202100:04,02/05/202100:06,"2,573,890,625","2,574,078,125",411,411,trip,
-2.47174E+18,02/05/2021 00:34,02/05/2021 00:43,"2,574,078,125","2,582,265,625",411,396,trip,
-2.47174E+18,02/05/2021 01:00,02/05/202101:11,"2,582,265,625","258,834,375",392,384,trip,
-2.47174E+18,02/05/202115:38,02/05/202116:11,"258,834,375","2,609,625",368,341,trip,
-2.47174E+18,02/05/202116:11,02/05/202116:53,"2,609,625","260,965,625",341,333,trip,
-2.47174E+18,02/05/202116:53,02/05/2021 16:57,"260,965,625","2,611,796,875",333,337,trip,
-2.47174E+18,02/05/2021 17:32,02/05/2021 17:38,"2,611,796,875","2,614,203,125",337,333,trip,
-2.47174E+18,03/05/202113:33,03/05/202113:50,"2,614,203,125","2,625,515,625",321,301,trip,
-2.47174E+18,03/05/202113:54,03/05/202114 :31,"2,625,515,625","2,649,546,875",301,262,trip,
-2.47174E+18,03/05/202 118:32,03/05/202118:48,"2,649,546,875","2,657,875",258,243,trip,
-2.47174E+18,03/05/202118:54,03/05/202119:07,"2,657,875","266,453,125",243,239,trip,
-2.47174E+18,03/05/202 119:26,03/05/202119:33,"266,453,125","2,667,984,375",235,231,trip,
-2.47174E+18,03/05/202119:56,03/05/2021 20:04,"2,667,984,375","2,671,890,625",231,227,trip,
-2.47174E+18,03/05/2021 20:22,03/05/2021 20:43,"2,671,890,625","26,871,875",223,192,trip,
-2.47174E+18,03/05/2021 21:44,03/05/2021 21:58,"26,871,875","269,496,875",192,176,trip,
-2.47174E+18,03/05/202122:06,03/05/2021 22:21,"269,496,875","270,403,125",176,16,trip,
-2.47174E+18,04/05/202114:41,04/05/2021 15:08,"270,403,125","2,718,265,625",156,133,trip,
-2.47174E+18,04/05/202115:20,04/05/2021 15:43,"2,718,265,625","273,428,125",129,105,trip,
-2.47174E+18,04/05/202115:45,04/05/202117:46,"273,428,125","273,428,125",105,125,charge,
-2.47174E+18,04/05/202117:46,04/05/202118:08,"273,428,125","274,971,875",125,101,trip,
-2.47174E+18,04/05/202118:22,04/05/2021 18:45,"274,971,875","276,546,875",9.8,7.4,trip,
-2.47174E+18,04/05/202119:07,04/05/2021 19:26,"276,546,875","277,653,125",7,5.4,trip,
-2.47174E+18,04/05/202119:27,04/05/2021 21:43,"277,653,125","277,653,125",5.4,223,charge,240
-2.47174E+18,04/05/2021 21:43,04/05/2021 21:49,"277,653,125","2,777,484,375",223,223,trip,
-2.47174E+18,04/05/2021 21:50,04/05/2021 22:08,"2,777,484,375","2,777,484,375",223,243,charge,240        
-2.47174E+18,04/05/202122:08,04/05/2021 22:12,"2,777,484,375","2,778,328,125",243,247,trip,
-2.47174E+18,04/05/202122:12,05/05/202101:14,"2,778,328,125","2,778,328,125",247,513,charge,240     
-2.47174E+18,05/05/202101:14,05/05/202101:16,"2,778,328,125","277,859,375",513,513,trip,
-2.47174E+18,05/05/2021 01:41,05/05/202101:54,"2,778,609,375","2,790,234,375",513,486,trip,
-2.47174E+18,05/05/202114:21,05/05/202114:39,"2,790,234,375","28,004,375",486,47,trip,
-2.47174E+18,05/05/202114:39,05/05/202115:17,"28,004,375","28,004,375",47,505,charge, 240
-2.47174E+18,05/05/202115:17,05/05/202115:22,"28,004,375","2,802,875",505,505,trip,
-2.47174E+18,05/05/202115:23,05/05/202115:41,"2802875","2,802,875",50.5,525,charge, 240
-2.47174E+18,05/05/202115:41,05/05/202115:59,"2802875","2,811,671,875",525,505,trip,
-2.47174E+18,05/05/202116:13,05/05/202117:40,"2,811,671,875","2,875,703,125",505,396,trip,
-2.47174E+18,05/05/202117:40,05/05/202118:48,"2,875,703,125","287,575",396,388,trip,
-2.47174E+18,05/05/202118:48,05/05/202119:03,"287,575","28,868,125",388,368,trip,
-2.47174E+18,05/05/202119:04,05/05/202119:05,"28,868,125","288,703,125",368,368,trip,
-2.47174E+18,05/05/202119:05,05/05/2021 20:29,"288,703,125","288,703,125",368,486,charge, 240
-2.47174E+18,05/05/2021 20:29,05/05/2021 20:46,"288,703,125","2,895,171,875",486,47,trip,
-2.47174E+18,05/05/2021 20:47,05/05/2021 21:19,"2,895,171,875","2,900,703,125",47,458,trip,
-2.47174E+18,05/05/2021 21:45,05/05/2021 21:56,"2,900,703,125","29,101,875",45,439,trip,
-2.47174E+18,05/05/2021 21:56,06/05/202100:28,"29,101,875","29,101,875",439,658,charge, 240
-2.47174E+18,06/05/2021 00:28,06/05/2021 00:42,"29,101,875","2,921,828,125",658,631,trip, 
-2.47174E+18,06/05/202119:16,06/05/202119:28,"2,921,828,125","2,928,125",639,631,trip, 
-2.47174E+18,06/05/202119:32,06/05/202119:47,"2,928,125","2935",631,619,trip,
-2.47174E+18,06/05/2021 20:39,06/05/2021 21:01,"293,5","2,948,328,125",611,592,trip,
