
-2.47174E+18,12/05/2021 22:25,12/05/2021 23:55,"385,746,875","385,746,875",172,313,charge,,240
·2.47174E+l8,12/05/2021 23:55,13/05/202100:12,"385,746,875","3,869,421,875",313,301,trip,,'
-2.47174E+18,13/05/2021 00:13,13/05/202100 :21,"3,869,421,875","3,869,421,875",301,301,charge,,120       
-2.47174E+18,13/05/202100:21,13/05/202102:48,"3,869,421,875","39,976,875",301,35,trip,,
-2.47174E+18,13/05/2021 02:48,13/05/202103:03,"39,976,875","39,976,875",35,47,charge,,240
-2.47174E+18,13/05/202103:03,13/05/2021 03:11,"39,976,875","4,002,234,375",47,39,trip,,
-2.47174E+18,13/05/202103:12,13/05/202104:00,"4,002,234,375","4,002,234,375",39,7,charge,,240
-2.47174E+18,13/05/2021 04:00,13/05/2021 04 :06,"4,002,234,375","40,045",7,62,trip,,
-2.47174E+18,13/05/202104:08,13/05/202104:08,"40,045","4,004,515,625",62,62,trip,,
-2.47174E+18,13/05/2021 04:11,13/05/202104:11,"400,453,125","400,453,125",62,62,trip,,
-2.47174E+18,13/05/202104:12,13/05/202104 :27,"400,453,125","400,453,125",62,20,charge,,DCCharging 
-2.47174E+18,13/05/202104:27,13/05/202104:57,"400,453,125","4,035,515,625",20,133,trip,,
-2.47174E+18,13/05/2021 04:57,13/05/202119:48,"4,035,515,625","4,035,515,625",133,313,charge,,120       
-2.47174E+18,13/05/202119:48,13/05/2021 20:04,"4,035,515,625","4,043,625",313,298,trip,,
-2.47174E+18,13/05/2021 20:06,13/05/2021 21:12,"4,043,625","4,081,328,125",298,247,trip,,
-2.47174E+18,13/05/202121:13,13/05/2021 21:51,"4,081,328,125","4,081,328,125",247,298,charge,,240       
-2.47174E+18,13/05/2021 21:51,13/05/2021 22:09,"4,081,328,125","4,096,984,375",298,27,trip,,
-2.47174E+18,13/05/2021 22:26,13/05/2021 23:08,"4,096,984,375","4,137,046,875",27,188,trip,,
-2.47174E+18,13/05/202123:09,13/05/2021 23:09,"4,137,046,875","4,137,046,875",188,188,trip,,
-2.47174E+18,13/05/202123:17,13/05/2021 23:51,"4,137,046,875","4,137,046,875",188,47,charge,,DCCharging
-2.47174E+18,13/05/202123:51,14/05/2021 00:50,"4,137,046,875","4,160,046,875",47,431,trip,,
-2.47174E+18,14/05/2021 00:51,14/05/202100:58,"4,160,046,875","4,160,046,875",431,439,charge,,240
-2.47174E+18,14/05/2021 00:58,14/05/202104 :54,"4,160,046,875","433,684,375",439,94,trip,,
-2.47174E+18,14/05/2021 04:55,14/05/202118:18,"433,684,375","433,684,375",94,254,charge,,120        
-2.47174E+18,14/05/202118:18,14/05/202118:33,"433,684,375","43,449,375",254,239,trip,,
-2.47174E+18,14/05/202118:34,14/05/202118:41,"43,449,375","434,890,625",239,239,trip,,
-2.47174E+18,14/05/202118:59,14/05/202119:49,"434,890,625","4,367,265,625",235,203,trip,,
-2.47174E+18,14/05/202119:50,14/05/2021 20:53,"4,367,265,625","4,367,265,625",203,709,charge,,DCCharging 
-2.47174E+18,14/05/2021 20:53,14/05/2021 22 :00,"4,367,265,625","4,384,640,625",709,67,trip,,
-2.47174E+18,14/05/2021 22:23,15/05/202100:29,"4,384,640,625","4,473,140,625",67,49,trip,,
-2.47174E+18,15/05/2021 00:29,15/05/2021 00:38,"4,473,140,625","4,473,140,625",49,498,charge,,240       
-2.47174E+18,15/05/2021 00:38,15/05/202103:05,"4,473,140,625","458,578,125",498,274,trip,,

