vm,timestamp,end_time,odo,end_odo,soc,end_soc,duration,event_emb_0,event_emb_1,charge_mode_emb_0,charge_mode_emb_1
1.0,0.0,0.11666666666666667,443.664,443.947,564.0,549.0,7.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,0.13333333333333333,738.7,443.947,443.947,549.0,100.0,44314.0,-0.8276280760765076,-1.2060294151306152,-0.7744888663291931,0.3519728183746338
1.0,738.7,738.8333333333334,443.947,444.25,100.0,100.0,8.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,738.8333333333334,741.25,444.25,445.713,100.0,945.0,145.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,741.25,741.3666666666667,445.713,446.145,945.0,945.0,7.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,741.7833333333333,741.8,446.145,446.148,941.0,941.0,1.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,744.95,745.2666666666667,446.148,448.075,937.0,894.0,19.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,1409.6166666666666,1410.5,448.075,456.017,89.0,701.0,53.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,1410.7833333333333,1410.8333333333333,456.017,456.036,416.8448275862069,701.0,3.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,1415.0666666666666,1416.55,456.036,465.694,705.0,439.0,89.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,1416.7666666666667,1416.7833333333333,465.694,465.823,435.0,435.0,1.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,1416.7833333333333,1417.4166666666667,465.823,465.823,435.0,466.0,38.0,-0.8276280760765076,-1.2060294151306152,-0.7744888663291931,0.3519728183746338
1.0,1417.4166666666667,1417.4833333333333,465.823,465.891,466.0,466.0,4.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,1417.5,1417.6166666666666,465.892,466.239,466.0,454.0,7.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2157.233333333333,2157.3333333333335,466.239,466.52,458.0,45.0,6.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2157.383333333333,2157.383333333333,466.52,466.52,45.0,503.96774193548384,0.0,-0.8276280760765076,-1.2060294151306152,-0.7744888663291931,0.3519728183746338
1.0,2157.383333333333,2157.75,466.52,466.795,416.8448275862069,443.0,22.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2157.75,2860.95,466.795,466.795,443.0,725.0,42192.0,-0.8276280760765076,-1.2060294151306152,-0.7744888663291931,0.3519728183746338
1.0,2860.95,2862.133333333333,466.795,476.839,72.5,486.0,71.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2862.483333333333,2863.5,476.839,486.561,482.0,164.0,61.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2871.266666666667,2871.4166666666665,486.561,486.842,168.0,16.0,9.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2871.4333333333334,2871.4666666666667,486.842,486.842,16.0,16.0,2.0,-0.8276280760765076,-1.2060294151306152,-0.7744888663291931,0.3519728183746338
1.0,2871.4666666666667,2871.4666666666667,486.842,486.842,16.0,16.0,0.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2871.4666666666667,2876.5666666666666,486.842,486.842,16.0,584.0,306.0,-0.8276280760765076,-1.2060294151306152,-0.7744888663291931,0.3519728183746338
1.0,2876.5666666666666,2876.6833333333334,486.842,487.095,584.0,588.0,7.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2877.95,2878.2833333333333,487.095,488.048,592.0,584.0,20.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2878.35,2878.383333333333,488.048,488.048,58.0,596.0,2.0,-0.8276280760765076,-1.2060294151306152,-0.7975069880485535,0.12009655684232712
1.0,2878.383333333333,2878.383333333333,488.048,488.048,596.0,596.0,0.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2878.383333333333,2878.9666666666667,488.048,488.048,596.0,811.0,35.0,-0.8276280760765076,-1.2060294151306152,-0.7975069880485535,0.12009655684232712
1.0,2878.9666666666667,2879.95,488.048,497.309,416.8448275862069,607.0,59.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2879.95,2880.0,497.309,497.325,607.0,607.0,3.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
1.0,2880.0,2880.05,497.325,497.408,607.0,603.0,3.0,-1.8684635162353516,1.004999041557312,-0.5260210037231445,-0.634856641292572
