vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,,charce_mode
·2.47174E+18,09/07/202122:36,09/07/2021 23:08,"2,007,070,313","2,008,598,438",384,352,trip,,
·2.47174E+l8,09/07/202123:08,10/07/202110:02,"2,008,598,438","2,008,598,438",352,49,charge,,120
·2.47174E+18,10/07/202110:02,10/07/202112:39,"2,008,598,438","2,019,660,938",49,282,Uip,,
·2.47174E+l8,10/07/202112:40,10/07/202114:58,"2,019,660,938","2,019,660,938",282,305,charge,,120
·2.47174E+18,10/07/202114:58,10/07/202115:51,"2,019,660,938",20238,305,247,trip,,
·2.47174E+18,10/07/202115:52,10/07/202116:23,20238,20238,247,572,charge,,
·2.47174E+l8,10/07/202116:23,10/07/202117:21,20238,"2,025,698,438",572,525,trip,,
·2.47174E+18,10/07/202117:22,10/07/202117:53,"2,025,698,438","2,025,698,438",525,803,charge,,DC Charging
·2.47174E+l8,10/07/202117:53,10/07/2021 23:01,"2,025,698,438","2,050,298,438",803,301,trip,,
·2.47174E+18,10/07/2021 23:02,10/07/2021 23:33,"2,050,298,438","2,050,298,438",301,607,charge,,DC Charging
·2.47174E+18,10/07/202123:33,11/07/202101:43,"2,050,298,438","206,160,625",607,376,trip,,
·2.47174E+l8,11/07/202101:48,11/07/202102 :54,"206,160,625","2,069,070,313",376,20,trip,,
·2.47174E+18,11/07/2021 02:55,11/07/202111:06,"2,069,070,313","2,069,070,313",20,301,charge,,120
·2.47174E+l8,11/07/202111:06,11/07/202112 :22,"2,069,070,313","2,076,453,125",301,164,trip,,
·2.47174E+18,11/07/202112:22,11/07/202112 :53,"2,076,453,125","2,076,453,125",164,47,charge,,DC Charging
·2.47174E+18,11/07/202112:53,11/07/202117:08,"2,076,453,125","2,093,448,438",47,164,trip,,
·2.47174E+l8,11/07/202117:28,11/07/202118:29,"2,093,448,438","2,098,482,813",164,54,trip,,
·2.47174E+18,11/07/202118:48,11/07/202118:54,"2,098,482,813","2,098,523,438",54,54,Uip,,
·2.47174E+l8,11/07/202118:54,11/07/202119:27,"2,098,523,438","2,098,523,438",54,98,charge,,240
·2.47174E+l8,11/07/202119:27,11/07/202119:52,"2,098,523,438","2,100,365,625",98,62,trip,,
·2.47174E+18,11/07/202119:53,11/07/2021 20:06,"2,100,365,625","2,100,934,375",62,54,trip,,
·2.47174E+l8,11/07/2021 20:07,11/07/2021 20:46,"2,100,934,375","2,100,934,375",54,58,charge,,120
·2.47174E+18,11/07/2021 20:46,11/07/2021 21:11,"2,100,934,375","2,102,226,563",58,39,trip,,
·2.47174E+l8,11/07/202121:47,11/07/202122 :53,"2,102,226,563","2,102,226,563",,541,charge,,
·2.47174E+18,11/07/2021 22:53,11/07/2021 23:02,"2,102,226,563","210,269,375",541,525,trip,,
·2.47174E+18,11/07/202123:16,11/07/2021 23:28,"210,269,375","21,034,125",525,513,trip,,
·2.47174E+l8,11/07/202123:29,12/07/202108:25,"21,034,125","21,034,125",513,619,charge,,120
·2.47174E+18,12/07/202108:25,12/07/202111:01,"21,034,125","2,116,545,313",619,36,Uip,,
·2.47174E+l8,12/07/202111:02,12/07/202111:33,"2,116,545,313","2,116,545,313",36,67,charge,,DC Charging
·2.47174E+18,12/07/202111:33,12/07/202112:26,"2,116,545,313","212,145",67,576,trip,,
·2.47174E+18,12/07/202112:27,12/07/202112 :30,"212,145","2,121,589,063",576,572,trip,,
·2.47174E+l8,12/07/202112:56,12/07/202113:05,"2,121,589,063","2,122,232,813",568,564,trip,,
