vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode
-8.99632E+18,28/01/2021 14:22,28/01/2021 14:51,8172.59375,8172.59375,45.4,67,charge,
-8.99632E+18,28/01/2021 14:51,28/01/2021 15:02,8172.59375,8175.859375,67,67,trip,
-8.99632E+18,28/01/2021 16:00,28/01/2021 16:03,8175.875,8176.671875,66.2,66.2,trip,
-8.99632E+18,28/01/2021 19:54,28/01/2021 19:57,8176.671875,8176.765625,68.2,68.2,trip,
-8.99632E+18,28/01/2021 22:05,28/01/2021 22:56,8176.765625,8262.65625,67.8,36,trip,
-8.99632E+18,28/01/2021 23:38,29/01/2021 09:53,8262.65625,8262.65625,36.4,54.5,charge,120
-8.99632E+18,29/01/2021 09:53,29/01/2021 10:31,8262.65625,8300.625,54.5,43.9,trip,
-8.99632E+18,29/01/2021 10:31,29/01/2021 10:32,8300.625,8300.625,43.9,43.9,trip,
-8.99632E+18,29/01/2021 10:35,29/01/2021 12:48,8300.625,8300.625,44.3,47.8,charge,120
-8.99632E+18,29/01/2021 12:48,29/01/2021 15:16,8300.625,8379.4375,47.8,29.4,trip,
-8.99632E+18,29/01/2021 15:16,29/01/2021 15:20,8379.4375,8380.578125,29.4,29.4,trip,
-8.99632E+18,29/01/2021 15:28,29/01/2021 15:47,8380.578125,8386.171875,29,28.2,trip,
-8.99632E+18,29/01/2021 15:48,29/01/2021 16:34,8386.171875,8386.171875,28.2,74.5,charge,
-8.99632E+18,29/01/2021 16:34,29/01/2021 17:07,8386.171875,8391.75,74.5,73.3,trip,
-8.99632E+18,29/01/2021 17:07,29/01/2021 17:23,8391.75,8397.921875,73.3,72.9,trip,
-8.99632E+18,29/01/2021 17:24,29/01/2021 18:04,8397.921875,8397.921875,72.9,78.8,charge,240
-8.99632E+18,29/01/2021 18:04,29/01/2021 18:07,8397.921875,8399.125,78.8,78.8,trip,
-8.99632E+18,29/01/2021 19:44,29/01/2021 20:49,8399.125,8484.921875,76,52.1,trip,
-8.99632E+18,29/01/2021 21:19,31/01/2021 12:52,8484.921875,8484.921875,52.1,100,charge,120
-8.99632E+18,31/01/2021 12:52,31/01/2021 13:41,8484.921875,8568.421875,100,78.8,trip,
-8.99632E+18,31/01/2021 13:43,31/01/2021 13:49,8568.421875,8570.1875,78.8,78.4,trip,
-8.99632E+18,31/01/2021 13:49,31/01/2021 15:18,8570.1875,8577,78.4,76.4,trip,
-8.99632E+18,31/01/2021 15:18,31/01/2021 15:23,8577,8578.4375,76.4,76.4,trip,
-8.99632E+18,31/01/2021 19:35,31/01/2021 20:32,8578.4375,8657.546875,76,52.9,trip,
-8.99632E+18,31/01/2021 21:37,01/02/2021 19:23,8657.546875,8657.546875,52.9,78,charge,120
-8.99632E+18,01/02/2021 19:23,01/02/2021 19:34,8657.546875,8660.953125,78,78,trip,
-8.99632E+18,01/02/2021 20:21,01/02/2021 20:24,8660.953125,8661.140625,77.6,77.6,trip,
-8.99632E+18,01/02/2021 20:34,01/02/2021 20:41,8661.140625,8664.078125,77.6,77.2,trip,
-8.99632E+18,01/02/2021 20:41,01/02/2021 21:51,8664.078125,8665.969882,77.2,76.8,trip,
-8.99632E+18,01/02/2021 21:51,02/02/2021 17:09,8665.969882,8665.969882,76.8,100,charge,120
-8.99632E+18,02/02/2021 17:09,02/02/2021 17:13,8665.969882,8666.078125,100,99.6,trip,
-8.99632E+18,02/02/2021 17:29,02/02/2021 17:36,8666.078125,8668.390625,99.6,99.6,trip,
