vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode
·2.47174£+18,22/05/202118:34,22/05/2021 20:21,"709,646,875","7,160,109,375",423, 317,trip,
·2.47174£+18,22/05/2021 20:22,22/05/2021 21:24,"7,160,109,375","7,160,109,375",317,823,charge, DCCharging
·2.47174E+18,22/05/2021 21:24,22/05/2021 21:32,"7,160,109,375","716,384,375",82.3,819,trip,
·2.47174E+lg,22/05/2021 21:39,22/05/2021 21:51,"716,384,375","717,078,125",815,807,trip,
·2.47174E+18,22/05/2021 22:00,23/05/202100:05,"717,078,125","7,266,296,875",803,623,trip,
·2.47174E+18,23/05/2021 00:06,23/05/202110:01,"7,266,296,875","7,266,296,875",623,737,charge,120
·2.47174£+18,23/05/202110:01,23/05/202113:45,"7,266,296,875",7448,737,376,trip,
·2.47174E+18,23/05/202113:46,23/05/202114 :02,7448,"7,448,015,625",376,396,charge,240
·2.47174£+18,23/05/202114:02,23/05/202115:17,"7,448,015,625","7,498,046,875",396,294,trip,
·2.47174E+l8,23/05/202115:17,23/05/202115:18, "7,498,046,875","7,498,046,875",294,294,charge,240
·2.47174£+18,23/05/202115:18, 23/05/202115:20,"7,498,046,875","74,981,875",294,294,trip,
·2.47174£+18,23/05/202115:20,23/05/202115:28,"74,981,875","74,981,875",294,298,charge,240
·2.47174E+18,23/05/202115:28,23/05/202115:46,"74,981,875","750,784,375",298,282,trip,
·2.47174£+18,23/05/202115:46,23/05/202116:00,"750,784,375","750,784,375",282,298,charge,240
·2.47174E+18,23/05/202116:00,23/05/202118:15,"750,784,375","7,577,390,625",298,168,trip,
·2.47174£+18,23/05/202118:17,23/05/202119:17,"7,577,390,625","7,577,390,625",168,678,chargeDCCharging
·2.47174£+18,23/05/202119:17,23/05/202119:31,"7,577,390,625","7,586,546,875",678,662,trip,
-2.47174E+18,23/05/202119:31,23/05/2021 20:43,"7,586,546,875","7,586,546,875",662,674,charge,120
·2.47174£+18,23/05/2021 20:43,23/05/2021 21:20,"7,586,546,875","760,790,625",674,639,trip,
·2.47174E+18,23/05/2021 21:21,23/05/2021 22:40,"760,790,625","760,790,625",639,749,charge,240
·2.47174E+18,23/05/2021 22:40,23/05/2021 23:06,"760,790,625","7,628,296,875",749,705,trip,
·2.47174£+18,23/05/202123:06,24/05/202110:10,"7,628,296,875","7,628,296,875",705,835,charge,120
·2.47174E+18,24/05/202110:10,24/05/202113:11,"7,628,296,875","7,790,421,875",835,47,trip,
·2.47174£+18,24/05/202113:12,24/05/202113:51,"7,790,421,875","7,790,421,875",47,474,charge,120
·2.47174E+18,24/05/202113:51,24/05/202114:06,"7,790,421,875","7,799,296,875",474,454,trip,
·2.47174E+18,24/05/202115:38,24/05/202115:40,"7,799,296,875","7,799,328,125",431,431,trip,
·2.47174£+18,24/05/202116:38,24/05/202116:46,"7,799,328,125","7,799,375",427,427,trip,
·2.47174E+18,24/05/202117:04,24/05/202117:07,"7,799,375","7,800,234,375",427,427,trip,
·2.47174£+18,25/05/202115:38,25/05/202115:40,"7,800,234,375","7,800,375",423,423,trip,
·2.47174E+18,25/05/202116:31,25/05/202116:32,"7,800,375","7,800,453,125",423,423,trip,
·2.47174E+18,25/05/202117:59,25/05/202118:26,"7,800,453,125","7,813,546,875",427,407,trip,
·2.47174£+18,25/05/202118:28,25/05/202119:28,"7,813,546,875","7,813,546,875",407,823,charge,DCCharging

