vm,timestamp,end_time,odo,end_odo,soc,end_soc,duration,event_id,event_emb_0,event_emb_1,charge_mode_emb_0,charge_mode_emb_1
1.0,2021-01-01 20:31:00,2021-01-01 20:38:00,4436.639999999999,4439.47,56.4,54.9,7.0,1,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-01-01 20:39:00,2021-02-01 15:13:00,4439.47,4439.47,54.9,100.0,44314.0,2,-1.3592301607131958,0.993220329284668,1.4096473455429077,0.19386857748031616
1.0,2021-02-01 15:13:00,2021-02-01 15:21:00,4439.47,4442.5,100.0,100.0,8.0,3,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-02-01 15:21:00,2021-02-01 17:46:00,4442.5,4457.13,100.0,94.5,145.0,4,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-02-01 17:46:00,2021-02-01 17:53:00,4457.13,4461.45,94.5,94.5,7.0,5,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-02-01 18:18:00,2021-02-01 18:19:00,4461.45,4461.4800000000005,94.1,94.1,1.0,6,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-02-01 21:28:00,2021-02-01 21:47:00,4461.4800000000005,4480.75,93.7,89.4,19.0,7,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-03-01 14:08:00,2021-03-01 15:01:00,4480.75,4560.17,89.0,70.1,53.0,8,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-03-01 15:18:00,2021-03-01 15:21:00,4560.17,4560.36,70.1,70.1,3.0,9,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-03-01 19:35:00,2021-03-01 21:04:00,4560.36,4656.9400000000005,70.5,43.9,89.0,10,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-03-01 21:17:00,2021-03-01 21:18:00,4656.9400000000005,4658.23,43.5,43.5,1.0,11,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-03-01 21:18:00,2021-03-01 21:56:00,4658.23,4658.23,43.5,46.6,38.0,12,-1.3592301607131958,0.993220329284668,1.4096473455429077,0.19386857748031616
1.0,2021-03-01 21:56:00,2021-03-01 22:00:00,4658.23,4658.91,46.6,46.6,4.0,13,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-03-01 22:01:00,2021-03-01 22:08:00,4658.92,4662.389999999999,46.6,45.4,7.0,14,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-04-01 17:45:00,2021-04-01 17:51:00,4662.389999999999,4665.2,45.8,45.0,6.0,15,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-04-01 18:16:00,2021-05-01 01:28:00,4667.95,4667.95,44.3,72.5,42192.0,16,-1.3592301607131958,0.993220329284668,1.4096473455429077,0.19386857748031616
1.0,2021-05-01 01:28:00,2021-05-01 02:39:00,4667.95,4768.39,72.5,48.6,71.0,17,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-05-01 03:00:00,2021-05-01 04:01:00,4768.39,4865.61,48.2,16.4,61.0,18,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-05-01 11:47:00,2021-05-01 11:56:00,4865.61,4868.42,16.8,16.0,9.0,19,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-05-01 11:57:00,2021-05-01 11:59:00,4868.42,4868.42,16.0,16.0,2.0,20,-1.3592301607131958,0.993220329284668,1.4096473455429077,0.19386857748031616
1.0,2021-05-01 11:59:00,2021-05-01 11:59:00,4868.42,4868.42,16.0,16.0,0.0,21,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-05-01 11:59:00,2021-05-01 17:05:00,4868.42,4868.42,16.0,58.4,306.0,22,-1.3592301607131958,0.993220329284668,1.4096473455429077,0.19386857748031616
1.0,2021-05-01 17:05:00,2021-05-01 17:12:00,4868.42,4870.950000000001,58.4,58.8,7.0,23,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-05-01 18:28:00,2021-05-01 18:48:00,4870.950000000001,4880.48,59.2,58.4,20.0,24,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-05-01 18:52:00,2021-05-01 18:54:00,4880.48,4880.48,58.0,59.6,2.0,25,-1.3592301607131958,0.993220329284668,0.1272726058959961,0.37493422627449036
1.0,2021-05-01 18:54:00,2021-05-01 18:54:00,4880.48,4880.48,59.6,59.6,0.0,26,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-05-01 18:54:00,2021-05-01 19:29:00,4880.48,4880.48,59.6,81.1,35.0,27,-1.3592301607131958,0.993220329284668,0.1272726058959961,0.37493422627449036
1.0,2021-05-01 19:29:00,2021-05-01 20:28:00,4880.48,4973.09,81.1,60.7,59.0,28,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-05-01 20:28:00,2021-05-01 20:31:00,4973.09,4973.25,60.7,60.7,3.0,29,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
1.0,2021-05-01 20:31:00,2021-05-01 20:34:00,4973.25,4974.08,60.7,60.3,3.0,30,-1.391772747039795,1.5095306634902954,-0.4109950661659241,2.3336050510406494
