vin,timestamp,end_time,odo,end_odo,soc,end_soc,duration,event_id,event_emb_0,event_emb_1,charge_mode_emb_0,charge_mode_emb_1
1.0,2021-01-01 20:31:00,2021-01-01 20:38:00,4436.640625,4439.46875,56.4,54.9,7.0,1,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-01 20:39:00,2021-01-02 15:13:00,4439.46875,4439.46875,54.9,100.0,1114.0,2,-0.13961130380630493,-0.24754497408866882,-1.121153473854065,0.48619428277015686
1.0,2021-01-02 15:13:00,2021-01-02 15:21:00,4439.46875,4442.5,100.0,100.0,8.0,3,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-02 15:21:00,2021-01-02 17:46:00,4442.5,4457.125,100.0,94.5,145.0,4,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-02 17:46:00,2021-01-02 17:53:00,4457.125,4461.45,94.5,94.5,7.0,5,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-02 18:18:00,2021-01-02 18:19:00,4461.45,4461.48375,94.1,94.1,1.0,6,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-02 21:28:00,2021-01-02 21:47:00,4461.48375,4480.75,93.7,89.4,19.0,7,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-03 14:08:00,2021-01-03 15:01:00,4480.75,4560.171875,89.0,70.1,53.0,8,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-03 15:18:00,2021-01-03 15:21:00,4560.171875,4560.359375,70.1,70.1,3.0,9,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-03 19:35:00,2021-01-03 21:04:00,4560.359375,4656.9375,70.5,43.9,89.0,10,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-03 21:17:00,2021-01-03 21:18:00,4656.9375,4658.234375,43.5,43.5,1.0,11,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-03 21:18:00,2021-01-03 21:56:00,4658.234375,4658.234375,43.5,46.6,38.0,12,-0.13961130380630493,-0.24754497408866882,-1.121153473854065,0.48619428277015686
1.0,2021-01-03 21:56:00,2021-01-03 22:00:00,4658.234375,4658.234375,46.6,46.6,4.0,13,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-03 22:01:00,2021-01-03 22:08:00,4658.921875,4662.390625,46.6,45.4,7.0,14,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-04 17:45:00,2021-01-04 17:51:00,4662.390625,4665.203125,45.8,45.0,6.0,15,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-04 18:16:00,2021-01-05 01:28:00,4667.953125,4667.953125,44.3,72.5,432.0,16,-0.13961130380630493,-0.24754497408866882,-1.121153473854065,0.48619428277015686
1.0,2021-01-05 01:28:00,2021-01-05 02:39:00,4667.953125,4768.390625,72.5,48.6,71.0,17,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-05 03:00:00,2021-01-05 04:01:00,4768.390625,4865.609375,48.2,16.4,61.0,18,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-05 11:47:00,2021-01-05 11:56:00,4865.609375,4868.421875,16.8,16.0,9.0,19,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-05 11:57:00,2021-01-05 11:59:00,4868.421875,4868.421875,16.0,16.0,2.0,20,-0.13961130380630493,-0.24754497408866882,-1.121153473854065,0.48619428277015686
1.0,2021-01-05 11:59:00,2021-01-05 17:05:00,4868.421875,4868.421875,16.0,58.4,306.0,21,-0.13961130380630493,-0.24754497408866882,-1.121153473854065,0.48619428277015686
1.0,2021-01-05 17:05:00,2021-01-05 17:12:00,4868.421875,4870.953125,58.4,58.8,7.0,22,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-05 18:28:00,2021-01-05 18:48:00,4870.953125,4880.484375,59.2,58.4,20.0,23,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-05 18:52:00,2021-01-05 18:54:00,4880.484375,4880.484375,58.0,59.6,2.0,24,-0.13961130380630493,-0.24754497408866882,-1.1649667024612427,-1.1810365915298462
1.0,2021-01-05 18:54:00,2021-01-05 19:29:00,4880.484375,4880.484375,59.6,81.1,35.0,25,-0.13961130380630493,-0.24754497408866882,-1.1649667024612427,-1.1810365915298462
1.0,2021-01-05 19:29:00,2021-01-05 20:28:00,4880.484375,4973.09375,81.1,60.7,59.0,26,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-05 20:28:00,2021-01-05 20:31:00,4973.09375,4973.25,60.7,60.7,3.0,27,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
1.0,2021-01-05 20:31:00,2021-01-05 20:34:00,4973.25,4974.078125,60.7,60.3,3.0,28,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
2.0,2021-04-26 18:40:00,2021-04-26 18:58:00,2096.265625,2106.125,70.9,69.4,18.0,29,0.5682060718536377,0.2615770399570465,-0.010697359219193459,0.002701346529647708
